claim,label_binary,user
Claim  A video is getting viral on social media with a claim thatreads: “The exercise this man is showing has cured and saved thousands fromheart blockages….! Now his video has gone viral and thousands of heartpatients are searching for this clip. So watch this clip and try this exercise.Some people claimed that their back pain vanished in just 7 days….!”  ,real,Aisha Chawla
Claim  A post shared on Facebook by a user named Steve Lock claims that Alcohol kills coronavirus. Along with the post a screengrab has been shared showing the photo of a man and it has been presented in a news format. The archived version of the post can be checked  here .   ,fake,Aisha Chawla
"A Facebookuser named ‘नीलम चतुर्वेदी विधायक’shareda photo on February 8 in which a person can be seen making tea in a teal stall.The text accompanying the photo reads: – “उत्तर प्रदेश केमुख्यमंत्री आदरणीय योगी जी के भाई हैं जो चाय का दुकान चला रहे है, कांग्रेस के कोई भी बड़े नेता का भाई इस तरह काहो तो जरूर पोस्ट कीजिएगा।” (English: The brother of UttarPradesh’s Chief Minister is running a tea shop”.",real,Kavya Rana
"CLAIM  In the viral post, a doctor’s photograph can be seen with description, “An 85-year-old Mohammed Shahid died of a heart attack. The mob lynched a young and talented Hindu doctor Dr. Paribaha Mukherjee in Bengal. But you guys will keep quiet on this mob lynching because the one who dies was a Hindu. “ ",real,Aisha Rana
"Claim  The post that has resurfaced on Facebook reads: “Lemon (Citrus) is a miraculous product to kill cancer cells. It is 10,000 times stronger than chemotherapy.” The viral post can be checked  here .  ",fake,Nikhil Khan
"CLAIM  The letter issued by ‘Crime Prevention Council of India’ reads,“Do not share election-related posts, photographs and posters”. “Noperson should share political posts via Facebook, Twitter, Instagram, WhatsAppand Other Networks associated with social media as part of election campaignduring the upcoming election, 2019!”  In the end the letter says “The District level SpecialSurveillance Team will take action against anybody found guilty.”  Many social media users have shared this information.",real,Arjun Bose
CLAIM  A train can be seen in the viral post on which the picture of Lord Shri Krishna has been printed. The description claims: “This is a train of Russia where the people of the ISKCON temple printed Lord Shri Krishna’s image on the engine so that their following grows throughout the world!”,real,Yash Rana
"Claim:   The Facebook post shared by the user ‘ Hector Terrero ’ claims that a boy died by consuming egg and sweet banana. The combination of the two formed poison in the stomach. The post reads:  EMERGENCY NEWS: DEATH OF A YOUNG MAN AFTER CONSUMING EGG AND THEN SWEET BANANA. After consuming egg and then sweet banana immediately he died on the spot. After researching the cause of his death, they discovered that the mixture of the egg and the sweet banana in the stomach turns into a poison that kills on the field. For this reason, do not eat the egg with sweet banana; It kills the net. Do not keep it for yourself, share… Only the bad people are not going share this, because they want to see others die…”  The user has also uploaded a video in which a man reads the entire post claiming that the boy died after eating egg and banana.   ",fake,Varun Trivedi
"Claim  An image shared on social media claims to have been created by a Japanese psychologist Akiyoshi Kitaoka. It claims that the image has been designed to help viewers to determine their state of mind. Essentially, if you look at these images and they appear to be still (RELAXED), moving slowly (MID-STRESS) and faster moving around (HI-STRESS), as stated in the caption of the viral image.  ",real,Arjun Gupta
"CLAIM  Some members of the Indian cricket team can be seen in the viral photo with head coach Ravi Shastri. In the photo, a liquor bottle can be seen near the feet of Ravi Shastri. The post’s description says, “Neeche Dekho…👇Neeche Dekho….👇 Shastri ki Kurssi ke Neeche Zoom karke Dekho 😳🤣☹️😣😫👇👇👇”",real,Tanya Chawla
"Claim  The post shared on social media by a user named Suzie Syiem reads: “ Most Urgent, Very Serious, Important information   Ministry of health’s emergency notification to the public that the Coronavirus influenza outbreak this time is very very serious & fatal. There’s no cure once you are infected.   Its spreading from China to various countries   Prevention method is to keep your throat moist, do not let your throat dry up. Thus do not hold your thirst because once your membrane in your throat is dried, the virus will invade into your body within 10 mins.   Drink 50-80cc warm water, 30-50cc for kids, according to age.   Everytime u feel your throat is dry, do not wait, keep water in hand.   Do not drink plenty at one time as it doesn’t help, instead continue to keep throat moist.   Till end of March 2020, do not go to crowded places, wear mask as needed especially in train or public transportation   Avoid fried or spicy food and load up vitamin C.   The symptoms/ description are   1.repeated high fever   2.prolonged coughing after fever  3.Children are prone* 4.Adults usually feel uneasy, headache and mainly respiratory related   5: highly contagious.   Pls share if you care for human life !” The  archived version  of the post can be checked here.  ",fake,Karan Verma
A post doing rounds on social media claims that after using fabric masks sanitize them by microwaving it for 2-3 minutes. The viral post is fake.        Claim  The viral post on Facebook shared by a user named Loni Martin reads:  Those that use a fabric mask – after wearing place in ziplock bag and microwave 2-3 minutes to sanitize. Do this after each wear.  The archived version of the post can be checked  here .  ,fake,Manav Sharma
"Claim  The photo is getting viral on social media in which some people could be seen holding a banner. The text written in the banner reads: WE DON’T WANT KASHMIR GIVE US VIRAT KOHLI. Many people sharing the post are claiming that the people shown in the image are from  Pakistan.  The fake post has been uploaded on Facebook by a user named Jeevan Singh Bodana on June 18, 2019. The post has been shared by 600 users so far and 470 users have commented on the post. This post has also been shared on other social media platforms.  ",fake,Manav Sharma
"Claim  A post doing rounds on Facebook claims that a tongue exercise (stretching out the tongue and moving it to the right then to the left 10 times) can protect you from getting Alzheimer’s. It also helps in reducing/improving the body weight, hypertension, blood clot in brain, asthma, far-sightedness, ear buzzing, throat infection, shoulder/neck infection, insomnia.   ",fake,Riya Gupta
"Claim:   A post is getting viral on Facebook in which two photos have been posted. The caption in the viral post reads:  Ring road in Ranchi Jharkhand made by Shri Narendra Modi.  The claim is followed by a link.  At first glance, it is learned that the caption given in the photo is click bait. It has been posted to specifically click or to redirect the user to a page/ post/ video.  ",fake,Rahul Kulkarni
A video is going viral on social media that claims “Some people were caught while hoarding hundreds of EVM machines in a strong room in Bina Bazar in Madhya Pradesh.” The captions suggests that the event took place recently,real,Riya Mehta
"Claim  A photo is doing rounds on social media showing a child covered in a heap of salt. The post is shared with a claim that reads: “ If someone dies due to drowning and the body is found within 3-4 hours, remove the clothes of the deceased and cover the body in 1.5 quintal of salt. The salt will slowly drain the water out of the body. Once the person gets conscious, take him to a doctor. If you have taken someone who has drowned to a hospital and the doctors have declared him dead, proceed with the salt treatment. By God’s grace, everything will be all right. Do not hurry to cremate once the doctor has declared the patient dead .” The post has been shared on Facebook by a page named Panchtatva.org.    ",real,Meera Chawla
"Claim  The Facebook page ‘Aam Admi Zindabad’ shared the post on July 11, 2019, at 2:29 PM that read: “The BJP has a problem that AAP government is giving good food and good education to the children of Delhi.”  ",fake,Karan Verma
"Claim   A post shared on social media purports to show a blue-colored fruit. The text in the post reads:  Moonmelon (scientifically knows as asidus). This fruit grows in some parts of Japan and is known for its vibrant blue color. This fruit’s party trick is that it can switch flavors after you eat it. Everything sour will taste sweet, everything salty will taste bitter, and it gives water a strong orange-like taste! Bucket list fruit!  ",fake,Neha Rana
"Claim  The viral message on Facebook reads: *Did you Know* The calling out a person’s name while they are sleeping can cause brain damage to the person. Instead of calling their name, tap them gently and if they don’t respond wait a bit and tap them later. Do not call out a person’s name while they are sleeping. Because their adrenaline can shot up causing fear and panic which can cause *Brain Damage*From: World Health Organization.  ",fake,Ananya Menon
"Claim  A post doing rounds on social media shared by a user named Sawan Singh reads: “ Turmeric and lemon are two simple, cheap and handy things you can use regularly to fight #CoronaVirus. Homemade rasam is also very useful .” The archived version of the post can be checked  here .  ",real,Kunal Verma
"CLAIM  In the screenshot of the CNBC Awaz News channel, Finance Minister Nirmala Sitharaman can be seen giving budget speech. The description reads, “Nirmala Sitharaman told the country while presenting the budget that the Modi government has so far distributed 35 thousand crore LED bulbs. Total population is 125 crores, means every person has got 280 bulbs. Is it a big scam or a gimmick?”",real,Yash Rana
"Claim:   The viral post has been shared by a Facebook page ‘ LiveHealthylife .’ The post claims that blowing a balloon for 10 minutes daily can cure mouth cancer, lungs cancer, heart attack, blockage, and breathing problems. The post has around 34000 shares, 2900 reactions, and 52 comments.  ",fake,Simran Bose
"Claim  Viral post on social media shows an image of a girl holding a Koala Bear in her hands. By sharing this image, a user named Arthur Luluai wrote: “ Young Girl Saving A Koala Bear From Bushfire In New South Wales, Australia .” The archived version of the post can be checked  here .    Viral Post   ",real,Vikram Choudhary
Claim  A video shared on social media by a user named  Ashok Kotak  shows three people singing a song. The claim with the video reads:  All three are blind. Enjoy their sweet voice. They sing like Asha & Rafi without any powerful music!! Pass on this video to all music loving persons!!  The  archived version  of the video can be seen here.  ,fake,Manav Sharma
"Claim  As per the Facebook post (Screenshot give above), Rs 173 will be deducted from a person’s bank account if he/she uses ATM machine to withdraw money more than four times. In another claim the post says that Rs 150 will be charged for every transaction if more than four transactions are done in anyone’s bank account.  ",real,Aisha Rana
" A message is going viral on social media that says “📩📩 Pradhan Mantri Mudra Shiksha Yojana”. Under this scheme, your son / daughter will be provided free education from class 5 to college. .. add your son / daughter’s name …. 👉👉 Registration form: 👉👉👉👉 http://bit.ly/pradhanmantri_mudra_yojna .. 🙏🙏 Please share this message 🙏 🙏. ”",real,Riya Mehta
Claim  The viral message on social media claims that Pepaero medicine cures dengue in 48 hours. It further claims that Pepaero medicine is available free of cost at Aerochem Neutron. The message has been around on social media since years and has resurfaced again.  ,fake,Neha Rana
"Claim  In the video being shared, this lady says, ” Hello everyoneI am wife on an army officer, I request all Indians and political leaders notto politicize the sacrifice of our soldiers. It takes so much to be a soldierand imagine the kind on pain the family of Abhinandan is going through. So please,at least till the tension is eased at the Indo-Pak border, stop your rallies,and don’t you dare to snatch away the credit of our soldiers. You have enoughtime to play politics but not now. It’s my humble request specially to the BJPpolitical leaders”.  The video is going viral with the description “The message of the wife of Wing Commander Abhinandan, BJP should stop politicizing the sacrifice of soldiers”.",real,Rahul Kulkarni
"World Cancer Day is the awareness day in which the entire world can unite together in the fight against the global cancer epidemic. Cancer continues to attract a number of misconceptions. Vishvas News debunked some of the myths and misconceptions around cancer.        
Claim1: Post claiming that Wild Aubergine can cure cancer is fake  A post shared on Facebook starts with: GOOD NEWS FOR CANCER PATIENTS, THE CURE IS HERE.    
Claim2: Post claiming deodorants cause breast cancer is fake  A post is getting viral on social media claiming that there is a possible connection between deodorants and breast cancer.
Claim3: Post claiming cancer is not a disease but fungus is misleading  A post is getting viral on social media with cancer-related claims. It claims that  cancer is a fungus  called myotoxin, not a disease. It further claims that chemotherapy is a mustard gas poison. It also states that alkaline foods keep you from getting cancer and keep your body’s pH level alkaline and acid in your body is what keeps your cancer fungus growing. 
Claim4: Post claiming drinking cold water after meals can cause cancer is fake  A post doing rounds on social media claims that  drinking cold water after a meal can cause cancer . It further claims that if you consume cold water after meal, it will solidify oily content in the food and this solidified content will line the intestines and ultimately lead to cancer. 
Claim5: Post claiming a home-made mixture can cure cancer in 3 days is false  A viral video on social media claims that  last stage cancer can be cured in 72 hours  by consuming a home-made mixture made of walnut, sprouted grains, honey, garlic, and lemon. As per the video, the mixture needs to be stored in the fridge and eaten multiple times a day. 
Claim6: Post claiming baking soda can cure cancer is fake  A viral post on social media claims that  baking soda can cure cancer . The claim is attributed to Dr. Simonchini, an oncologist in Rome. As suggested in the post, Dr. Simonchini observed that a tumour got flushed with baking soda and was disappeared in a few days. 
Claim7: Can consuming cold water, cucumber during menstruation cause cancer, infertility? No  A post shared on social media suggests  certain activities women should avoid during menstruation . A woman should avoid such activities as it increases the risk of ‘sterility’ and ‘uterus cancer’ as per the viral post. The source of the claim is given as the Indonesian Cancer Extension Institute. The post is also accompanied by disturbing images of a severely swollen belly. ",fake,Shreya Pandey
"Claim  A post shared on social media warns against polio vaccination claiming:  Children recently vaccinated with the polio vaccine are shedding the EV71 enterovirus which causes the most serious cases of hand, foot, mouth disease. Along with a post, a link of the Health Freedom Idaho website was shared.  ",fake,Divya Kulkarni
